number|name|description|creditpoints|teachername|address|requirement|semester|faculty|degree
BPH1|Bauphysik 1|Im Modul Bauphysik werden die bauphysikalischen Zusammenhänge im Bereich der Hochbauplanung unter besonderer Berücksichtigung baukonstruktiver Einflussgrößen vermittelt. Der Schwerpunkt liegt dabei auf der Vermittlung theoretischer Grundkenntnisse und der Anwendung in der Praxis in den Bereichen Wärmeschutz, Feuchteschutz und Schallschutz.|5|Prof. Dr.-Ing. Julian Kümmel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=909|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BBBOBAUR|Baurecht und Baubetriebswirtschaft|Die Studierenden haben Grundkenntnisse zu der VOB (Vergabe- und Vertragsordnung für Bauleistungen) Sie haben Kenntnisse über den grundlegenden Ablauf eines Bauvorhabens, die für das Studium des Bauwesens und die spätere Berufspraxis erforderlich sind. Privates und Öffentliches Baurecht, Öffentliches Baurecht und Verfassungsrecht, Planungsebenen in der Bundesrepublik, Rechtsschutz vor den Verwaltungsgerichten, Planfeststellungsverfahren und Rechte der Betroffenen.|5|Frank FaselProf. Wolfgang Trautner|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=902|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BSKU|Baustoffkunde|Themen der Veranstaltung sind: Grundlagen, Eisen und Stahl, Nichteisenmetalle, Natursteine, Gesteinskörnungen für Mörtel und Beton, Bindemittel, Beton und optional Holz und Holzwerkstoffe. Dabei stehen die Eigenschaften der Baustoffe, deren Bedeutung, Verfahren zu deren Prüfung und wichtige Normen im Vordergrund.|5|Prof. Dr.-Ing. Rüdiger Kern|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=910|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
EBRB|Einführung in den Brückenbau|Tragverhalten von Brückenbauwerken, Erläuterung wesentlicher Begriffe, Zusammenhänge, Voraussetzungen und Randbedingungen für den Entwurf von Brückentragwerken, Vordimensionierung von Brückenbauwerken in Bezug auf Gebrauchstauglichkeit und Tragsicherheit, Brückenausstattungen, Bauverfahren im Brückenbau, Lasten im Brückenbau.|5|Prof. Dr.-Ing. Bertram Kühn|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=934|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
EEBA|Energieeffizientes Bauen|Vermittlung von anwendungsorientierten Kenntnissen aus dem Bereich des energieeffizienten Bauens: Grundlagen der EnEV; Zusammenhänge der EnEV, EEWärmeG und EEG; Maßnahmen zur Optimierung der Gebäudehülle; Maßnahmen zur Optimierung der Anlagentechnik; Zentrale und dezentrale Wärmekonzepte; etc.|5|Prof. Maik Werner Neumann|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=935|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
ENT1|Entwerfen B1|Erstellung einfacher Entwürfe mit konstruktivem Schwerpunkt unter Berücksichtigung geltender Vorschriften und Richtlinien. Verbale Erläuterung der Entwurfsschritte sowie Präsentation der Entwurfsprojekte im Gesamtzusammenhang.|10|Prof. Dipl.-Ing. Thomas Meurer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=911|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
ENT2|Entwerfen B2|In dem Modul Entwerfen B2 werden anhand von Vorlesungen und betreuten Projektarbeiten vorgegebene Entwurfsaufgaben hinsichtlich einer baukonstruktiven Fragestellung entwickelt.|10|Norbert Stephan HanenbergProf. Dipl.-Ing. Jürgen Hauck|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=912|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
ENT3|Entwerfen B3|Planungsaufgaben aus den Bereichen Wohnungs- oder Kindergartenbau mit baukonstruktiver Vertiefung.|10|Prof. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=913|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
ENT4|Entwerfen B4 (Städtebau)|Städtebauliche Analyse und städtebaulicher Entwurf.|10|Prof. Dr.-Ing. Alexander Pellnitz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=914|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
ENT5|Entwerfen B5 (Integriertes Projekt)|Im Modul Entwerfen B5 werden die wesentlichen Inhalte bezüglich Gebäudeentwurf und Gebäudeplanung, Baukonstruktion und Bauphysik, Tragwerk und TGA, Kosten und Termine in einem Gesamtprojekt integriert und angewendet. Die Projektbearbeitung erfolgt in Teams und fördert so die Kompetenzen zur Zusammenarbeit in unterschiedlichen Rollen zum Erreichen der Projektziele.|10|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=915|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
ENT6|Entwerfen B6|Analyse- und Entwurfsaufgaben aus dem städtebaulichen und/oder hochbaulichen Bereich, mit enger, inhaltlicher Verknüpfung und als direkte Vorbereitung für die Bachelorthesis|10|Bartosz CzempielNorbert Stephan HanenbergProf. Dipl.-Ing. Jürgen HauckProf. Dipl.-Ing. Dirk MetzgerProf. Dipl.-Ing. Thomas MeurerProf. Maik Werner NeumannProf. Dr.-Ing. Alexander PellnitzProf. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=916|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
EUKB|Entwerfen im urbanen Kontext|Themen zum Hoch- und Städtebau im urbanen Kontext.|5|Prof. Dipl.-Ing. Thomas Meurer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1801|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
EURB|European Architecture and Civil Engineering Bachelor|Bauweisen in einzelnen europäischen Ländern unterscheiden sich zum Teil deutlich. Dies liegt z.B. am unterschiedlichen Klima, an verfügbaren Rohstoffen für Baumaterialien aber auch an gesellschaftlichen Anforderungen oder an einer länderspezifischen oder auch regionalen Baukultur. An ausgewählten aktuellen Themen wird das Bauen in den Ländern der Partnerhochschulen des Fachbereichs überwiegend von Lehrenden dieser Hochschulen vorgestellt.|5|Prof. Dr.-Ing. Julian KümmelProf. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1803|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
GSGA|Gestalterische Sondergebiete in der Architektur|Verschiedenartige Lerninhalte als Wahlfächer aus dem gestalterischen Bereich der Architektur, darunter spezielle Computer-, Modellbau-, Fotographie-, Bauaufnahmeanwendungen sowie verschiedene Workshops.|5|Prof. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=936|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
GETHBAUF|Grundlagen Bauaufnahme und Geschichte|Geschichte und Theorie: Geschichte und Theorie von Architektur und Städtebau von den frühen Hochkulturen bis zur Gegenwart.  Baufaufnahme :  Einführung in die Bestandsanalysen mit Vermittlung von vertieften Kenntnissen zu Bauaufmaßen und Grundkenntnissen zu Bauuntersuchungen und zu Dokumentationsmöglichkeiten der Analyseergebnisse.|7|Prof. Dr.-Ing. Alexander PellnitzProf. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1799|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
GEOMFZEI|Grundlagen Darstellung|Darstellende Geometrie: Grundkenntnisse der grafischen Darstellung für Planung und Konstruktion (analog und mit CAD), Erstellung von Zeichnungen, Grundlagen des 3D und des rechnergestützten Konstruierens. Freies Zeichnen: In Freies Zeichnen geht es um die Vermittlung unterschiedlicher Techniken und Materialien hinsichtlich einer erweiterten Wahrnehmung und Abbildung von Ort, Raum und Gegenstand.|4|Dr.-Ing. Christian BaierThomas Vinson|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=918|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
GEKUGEVI|Grundlagen Gebäude|Gebäudekunde: Analyse von Entwurfs- und Gebäudekonzepten, Analyse von Strukturkonzepten, Standards, Normen und Verordnungen, Verständnis des Zusammenhangs zwischen Form und Funktion.   Gebäudevisualisierung: Gebäudevisualisierung CAD 3D und Bildbearbeitung.|5|Bartosz CzempielProf. Dipl.-Ing. Thomas Meurer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=917|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
GLFAGLPL|Grundlagen Gestaltung|Gestaltungslehre Farbe beschäftigt sich mit der Wirkungsweise von Farben im architektonischen Kontext  Gestaltungslehre Plastik befasst sich mit dem materialspezifischen „Formen” als Prozess eines dreidimensionalen Objektes in unmittelbarem Bezug zu architektonischen Fragestellungen.|4|Thomas Vinson|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=920|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
STPLSTVI|Grundlagen Stadt|Stadtplanung: Kenntnisse des Bauplanungsrechts (BauGB, BauNVO, PlanZV usw.) – sowie des Bauordnungsrechts (insbesondere Abstandsflächenrecht) und des Umweltrechts, Verständnis des Zusammenhangs zwischen städtebaulichem Entwurf, Gestaltung und Bauplanungs-, Bauordnungs- sowie Umweltrecht. Stadtvisualisierung: Stadtvisualisierung und Bildbearbeitung.|5|Bartosz CzempielProf. Dr.-Ing. Alexander Pellnitz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=922|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
HBPR|Holzbau Projekt|Tragwerksentwurf und Bemessung von Dachstühlen und Gebäuden aus Holz.|5|Achim Vogelsberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=937|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
KGVA|Konstruktive und gestalterische Versuchsaufbauten|Praxisnahe Anwendung von Gestaltungs- und Konstruktionsprinzipien an weitspannenden Tragwerken|5|Prof. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1804|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
KSGA|Kunsthistorische Sondergebiete der Architektur|Das Modul Kunsthistorische Sondergebiete der Architektur beschäftigt sich mit der Bedeutung und der Rezeption eigenständiger, architekturbegleitender Themenfelder ohne zeitlichen und geographischen Rahmen.|5|Norbert Stephan Hanenberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=938|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
LSAB|Landschaftsarchitektur|Landschaftarchitektonischer Entwurf auf Grundlage einer Bestandsanalyse zu aktuellen Themen in der Architektur, dem Städtebau oder der Landschaftsarchitektur.|5|Prof. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1677|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
PST1|Projektsteuerung 1|Grundlagen der Projektvorbereitung und der Projektdurchführung: Projektentwicklung, Projektorganisation, Kostenermittlungen, Ablauf- und Terminplanung.|5|Prof. Dipl.-Ing. Dirk MetzgerProf. Maik Werner Neumann|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=921|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
RGTD|Raum - Gestalt Technik Detail|Das Verständnis für architektonische Räume, im Zusammenwirken mit funktionalen Anforderungen und gestalterischen Prinzipien, sind maßgebende Ansprüche an die Planungsleistung von Architekten. Der gezielte Einsatz von raumbildenden Elementen und deren harmonische Verflechtung mit Farbe, Materialität und die Integration technischer Anforderung, schafft Innenräume, die allen Ebenen der Behaglichkeit genügen.|5|Dipl.-Ing.,M.Eng. Christian HillgärtnerProf. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1678|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
RSKO|Ressourcenschonendes Konstruieren|Methodenbasierte Materialwahl und Konstruktionsansätze unter Berücksichtigung von Klimawandel und Res-  sourcenknappheit|5|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1805|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
SVIB|Sondergebiete der Visualisierung (Bachelor)|Themen im Bereich der Visualisierung von Architektur und Städtebau.|5|Bartosz Czempiel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=942|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
SGPM|Sondergebiete des Projektmanagements|Analyse und Anwendung von Projektmanagementaufgaben und insbesondere der Projektsteuerung in unterschiedlichen Projektkonstellationen und -szenarien.|5|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2106|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
SQPB|Stadt- und Quartiersplanung (Bachelor)|Städtebaulicher Entwurf auf Grundlage einer Bestandsanalyse zu aktuellen Themen der Stadt- und Quartiersplanung|5|Prof. Dr.-Ing. Alexander Pellnitz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=940|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
STAB|Stadtarchitektur|Themen aus den Bereichen Stadtarchitektur und Städtebau.|5|Prof. Dr.-Ing. Alexander Pellnitz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=941|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
TGAB|Technischer Ausbau|Technischer Ausbau eines Gebäudes als integrale Aufgabe für Planer und Bauleiter; Hausanschluss; Wasser- /Abwasserinstallation, Elektro-Installation für Wohn- und Bürogebäude.|5|Prof. Dipl.-Ing. Jürgen Hauck|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1679|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
TWL1|Tragwerkslehre 1|Einführung; Zusammensetzung, Zerlegung und Gleichgewicht von Kräften; statisch bestimmte Tragwerke, Fachwerksysteme.|5|Prof. Dr.-Ing. Christine Döbert|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=923|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
5LAB|5D Lab - Integration, Koordination und Optimierung|Im Modul „5D Lab – Integration, Koordination und Optimierung” wird die interdisziplinäre Projektbearbeitung unter Nutzung der BIM Technologie in 3D, 4D und 5D umgesetzt. Wesentliche Grundlagen zu Datenaustausch- und -integration, Planungskoordination unter Nutzung von BIM Technologie (5D Lab) zur Optimierung von Qualitäten, Kosten und Termine werden erarbeitet. Hier spielt die jeweilige Rolle der Beteiligten von Planungsbetei- ligten, Projektleitung bis zu BIM Management und BIM Koordination eine wichtige Rolle.|6|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=946|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
AABS|Abwehrender und anlagentechnischer Brandschutz|Einführung in die Grundlagen des abwehrenden sowie des anlagentechnischen Brandschutzes.|6|Prof. Dr.-Ing. Julian Kümmel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=948|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
AVAM|AVA Master|Alternative Leistungsbeschreibungen (Leistungsbeschreibung mit Leistungsprogramm, ÖPP/PPP Verfahren); Nationales und europäisches Vergaberecht; Vergaben (Einzelvergabe vs. Generalunternehmervergabe; Gene- ral-/Totalübernehmervergaben); Bauverträge (Pauschalverträge; Garantierter Maximalpreis); Ausschreibungen von Dienstleistungen (VOF bzw. VOB/A; Planungsleitungen, Projektsteuerungsleitungen); Neue Technologien (E-Vergabe, BIM)|6|Prof. Dr.-Ing. Katja Andrea Silbe|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=949|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BINM|Bauinformatik M|Vertiefung der Kenntnisse im Bereich der parametrischen Modellierung, ob- jektorientierten Programmierung, des generativen Designs sowie der künstlichen Intelligenz anhand von Problemstellungen des Bauwesens.|6|Prof. Dr.-Ing. Joaquin Antonio Diaz Pascual|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=951|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BKCO|Baukosten-Controlling|Die Studierenden vertiefen Kenntnisse in den Baubranchen üblichen Kalkulationsverfahren und lernen das betriebliche Rechnungswesen der Bauunternehmen und die Bauauftragsrechnung kennen. Sie können Baupreise kalkulieren und die auf einer Baustelle anfallenden Kosten und Leistungen während der Abwicklung eines Bauvorhabens abgrenzen und analysieren sowie die erlangten Kenntnisse auf andere Bauvorhaben übertragen.|6|Prof. Dr.-Ing. Katja Andrea Silbe|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=952|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BPHK|Bauphysikalische Konzepte|Vertiefung der Grundlagen in den einzelnen Teilgebieten der Bauphysik; aktuelle Entwicklungen in der Bauphysik; Durchführung von bauphysikalischen Messungen in Gebäuden.|6|Prof. Dr.-Ing. Julian Kümmel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=953|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BAPR|Baupraxis, BE, AV, TP (Master)|Besichtigung von Baustellen des Hoch-/Ingenieurbaus mit Abgleich der jeweiligen Leistungsverzeichnisse mit der Bauleistung vor Ort, Bewertung der Baustelleneinrichtung und Zuordnung der Leistungs- und Bereitstel- lungsgeräte zur vorgesehenen Bauzeit und der auf die Bauleistung bezogenen Kosten in zeitlicher Hinsicht.|6|Frank Fasel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=950|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BVF2|Bauverfahren 2|Vertiefung der Kenntnisse in Verfahrensauswahl, Arbeitsvorbereitung und schlüsselfertiger Kalkulation. Darstellung der gängigen Bauverfahren des Hoch-/Tief- und Schlüsselfertigbaus am realen Projekt mit Bewertung der Bauabläufe und Kosten.|6|Frank Fasel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=956|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BPMO|Betriebspraktisches Modul|Eine 8-wöchige Praxisphase mit ingenieurartigen Tätigkeiten in Unternehmen oder anderen Institutionen des Bauwesens. Abschlussvortrag über die eigenen Praxiserfahrungen, sowie die Teilnahme an Fachvorträgen.|12|Dr.-Ing. Christian Baier|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=954|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
3DOM|BIM 3D - Objektorientierte Modellierung|Grundlagen und objektorientierte Modellierung mit Simulation und Visualisierung.|6|Dr.-Ing. Christian Baier|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=945|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
KPTA|BIM 4D/5D - Kostenplanung, Terminplanung, Ausschreibung|Im Modul „BIM 4D/5D – Kostenplanung, Terminplanung und Ausschreibung” werden die Potenziale von BIM Software zur modellbezogenen Bestimmung und Bewertung von Qualitäten, Kosten und Terminen aus Sicht des Auftraggebers genutzt. Im Rahmen einer Projektbearbeitung werden modellbasiert Themen wie Terminpla- nung, Kostenermittlung und -planung und Ausschreibung angewendet.|6|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=959|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
MKTB|BIM 4D/5D - Modellbasierte Kalkulation, Terminplanung und Bauorganisation|Anwendung und Methoden des Building Information Modeling zur Projektabwicklung von der Planung bis zur Ausführung von Projekten anwenden. Modellbasierte mengen-, termin- und kostenabhängige Bearbeitung von Prozessen.|6|Prof. Dr.-Ing. Katja Andrea Silbe|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1807|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
5TMG|BIM 5D Modellierung - Technische und Management Grundlagen|Vermittlung der technischen und management- Grundlagen für die Anwendung der 5D BIM Methodik. Unter Berücksichtigung der Schnittstellen für das kooperative Planen, Bauen und Betreiben. Anforderungen an die technische Bearbeitung von 5D BIM-Modellen. Ma- nagementgrundlagen des BIM-Workflows.|6|Prof. Dr.-Ing. Joaquin Antonio Diaz Pascual|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=947|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
BSIB|Brandschutz im Bestand|Einführung in die Grundlagen der Brandschutzplanung im Bestand sowie deren Anwendung.|6|Prof. Dr.-Ing. Julian Kümmel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=955|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
DPFL|Denkmalpflege M|Grundlagen der Baudenkmalpflege.|3|Prof. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1199|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
ABFF|Die Architektur als Baukunst und Forschungsfeld|Forschungsbegleitende und zeitlich relevante Themen zu Architektinnen und Architekten sowie Architekturen.|6|Norbert Stephan Hanenberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1566|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
DNSM|Die nachhaltige Stadt|Themen zum Hoch- und Städtebau im Kontext der Nachhaltigkeit.|6|Prof. Maik Werner Neumann|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1567|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
DUSM|Die urbane Stadt|Themen zum Hoch- und Städtebau im urbanen Kontext.|6|Prof. Dipl.-Ing. Thomas Meurer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1568|Keine|4|FB01-BAU|Architektur(M.Eng.2018)
